Sample no,fc (MPa),fy (MPa),Beam Area (m2),Col Area (m2),Bay Width X (m),Bay Width Y (m),Bay Width Z (m),No of bay X,No of bay Y,No of bay Z,Area (m2)
83,15,415,0.07475,0.0529,2.6,4.5,3.2,4,2,3,93.6
84,15,415,0.07475,0.0529,4.5,2.6,2.75,3,2,3,70.2
85,15,415,0.07475,0.0529,4.5,2.6,3,3,2,3,70.2
86,15,415,0.07475,0.0529,4.5,2.6,3.2,3,2,3,70.2
87,15,415,0.07475,0.0529,4.5,3.6,2.75,3,2,3,97.2
88,15,415,0.07475,0.0529,4.5,3.6,3,3,2,3,97.2
89,15,415,0.07475,0.0529,4.5,3.6,3.2,3,2,3,97.2
90,15,415,0.07475,0.0529,3.6,3.6,2.75,3,2,3,77.76
91,15,415,0.07475,0.0529,3.6,3.6,3,3,2,3,77.76
92,15,415,0.07475,0.0529,3.6,3.6,3.2,3,2,3,77.76
93,15,415,0.07475,0.0529,3.6,2.6,2.75,3,3,3,84.24
94,15,415,0.07475,0.0529,3.6,2.6,3,3,3,3,84.24
95,15,415,0.07475,0.0529,3.6,2.6,3.2,3,3,3,84.24
96,15,415,0.07475,0.0529,3.6,4.5,2.75,3,2,3,97.2
97,15,415,0.07475,0.0529,3.6,4.5,3,3,2,3,97.2
98,15,415,0.07475,0.0529,3.6,4.5,3.2,3,2,3,97.2
99,15,415,0.07475,0.0529,2.6,4.5,2.75,3,2,3,70.2
100,15,415,0.07475,0.0529,2.6,4.5,3,3,2,3,70.2
101,15,415,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2
102,15,415,0.07475,0.0529,2.6,3.6,2.75,3,3,3,84.24
103,15,415,0.07475,0.0529,2.6,3.6,3,3,3,3,84.24
104,15,415,0.07475,0.0529,2.6,3.6,3.2,3,3,3,84.24
105,15,415,0.07475,0.0529,4.5,3.6,2.75,2,2,3,64.8
106,15,415,0.07475,0.0529,4.5,3.6,3,2,2,3,64.8
107,15,415,0.07475,0.0529,4.5,3.6,3.2,2,2,3,64.8
108,15,415,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81
109,15,415,0.07475,0.0529,4.5,4.5,3,2,2,3,81
110,15,415,0.07475,0.0529,4.5,4.5,3.2,2,2,3,81
111,15,415,0.07475,0.0529,3.6,4.5,2.75,2,2,3,64.8
112,15,415,0.07475,0.0529,3.6,4.5,3,2,2,3,64.8
113,15,415,0.07475,0.0529,3.6,4.5,3.2,2,2,3,64.8
114,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,4,81.12
115,15,415,0.07475,0.0529,2.6,2.6,3,6,2,4,81.12
116,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,4,81.12
117,15,415,0.07475,0.0529,3.6,2.6,2.75,5,2,4,93.6
118,15,415,0.07475,0.0529,3.6,2.6,3,5,2,4,93.6
119,15,415,0.07475,0.0529,3.6,2.6,3.2,5,2,4,93.6
120,15,415,0.07475,0.0529,2.6,2.6,2.75,5,2,4,67.6
121,15,415,0.07475,0.0529,2.6,2.6,3,5,2,4,67.6
122,15,415,0.07475,0.0529,2.6,2.6,3.2,5,2,4,67.6
123,15,415,0.07475,0.0529,2.6,3.6,2.75,5,2,4,93.6
124,15,415,0.07475,0.0529,2.6,3.6,3,5,2,4,93.6
125,15,415,0.07475,0.0529,2.6,3.6,3.2,5,2,4,93.6
126,15,415,0.07475,0.0529,4.5,2.6,2.75,4,2,4,93.6
127,15,415,0.07475,0.0529,4.5,2.6,3,4,2,4,93.6
128,15,415,0.07475,0.0529,4.5,2.6,3.2,4,2,4,93.6
129,15,415,0.07475,0.0529,3.6,2.6,2.75,4,2,4,74.88
130,15,415,0.07475,0.0529,3.6,2.6,3,4,2,4,74.88
131,15,415,0.07475,0.0529,3.6,2.6,3.2,4,2,4,74.88
132,15,415,0.07475,0.0529,2.6,3.6,2.75,4,2,4,74.88
133,15,415,0.07475,0.0529,2.6,3.6,3,4,2,4,74.88
134,15,415,0.07475,0.0529,2.6,3.6,3.2,4,2,4,74.88
135,15,415,0.07475,0.0529,2.6,2.6,2.75,4,3,4,81.12
136,15,415,0.07475,0.0529,2.6,2.6,3,4,3,4,81.12
137,15,415,0.07475,0.0529,2.6,2.6,3.2,4,3,4,81.12
138,15,415,0.07475,0.0529,2.6,4.5,2.75,4,2,4,93.6
139,15,415,0.07475,0.0529,2.6,4.5,3,4,2,4,93.6
140,15,415,0.07475,0.0529,2.6,4.5,3.2,4,2,4,93.6
141,15,415,0.07475,0.0529,4.5,2.6,2.75,3,2,4,70.2
142,15,415,0.07475,0.0529,4.5,2.6,3,3,2,4,70.2
143,15,415,0.07475,0.0529,4.5,2.6,3.2,3,2,4,70.2
144,15,415,0.07475,0.0529,4.5,3.6,2.75,3,2,4,97.2
145,15,415,0.07475,0.0529,4.5,3.6,3,3,2,4,97.2
146,15,415,0.07475,0.0529,4.5,3.6,3.2,3,2,4,97.2
147,15,415,0.07475,0.0529,3.6,3.6,2.75,3,2,4,77.76
148,15,415,0.07475,0.0529,3.6,3.6,3,3,2,4,77.76
149,15,415,0.07475,0.0529,3.6,3.6,3.2,3,2,4,77.76
150,15,415,0.07475,0.0529,3.6,2.6,2.75,3,3,4,84.24
151,15,415,0.07475,0.0529,3.6,2.6,3,3,3,4,84.24
152,15,415,0.07475,0.0529,3.6,2.6,3.2,3,3,4,84.24
153,15,415,0.07475,0.0529,3.6,4.5,2.75,3,2,4,97.2
154,15,415,0.07475,0.0529,3.6,4.5,3,3,2,4,97.2
155,15,415,0.07475,0.0529,3.6,4.5,3.2,3,2,4,97.2
156,15,415,0.07475,0.0529,2.6,4.5,2.75,3,2,4,70.2
157,15,415,0.07475,0.0529,2.6,4.5,3,3,2,4,70.2
158,15,415,0.07475,0.0529,2.6,4.5,3.2,3,2,4,70.2
159,15,415,0.07475,0.0529,2.6,3.6,2.75,3,3,4,84.24
160,15,415,0.07475,0.0529,2.6,3.6,3,3,3,4,84.24
161,15,415,0.07475,0.0529,2.6,3.6,3.2,3,3,4,84.24
162,15,415,0.07475,0.0529,4.5,3.6,2.75,2,2,4,64.8
163,15,415,0.07475,0.0529,4.5,3.6,3,2,2,4,64.8
164,15,415,0.07475,0.0529,4.5,3.6,3.2,2,2,4,64.8
165,15,415,0.07475,0.0529,4.5,4.5,2.75,2,2,4,81
166,15,415,0.07475,0.0529,4.5,4.5,3,2,2,4,81
167,15,415,0.07475,0.0529,4.5,4.5,3.2,2,2,4,81
168,15,415,0.07475,0.0529,3.6,4.5,2.75,2,2,4,64.8
169,15,415,0.07475,0.0529,3.6,4.5,3,2,2,4,64.8
170,15,415,0.07475,0.0529,3.6,4.5,3.2,2,2,4,64.8
171,20,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12
172,20,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12
173,20,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12
174,20,415,0.07475,0.0529,3.6,2.6,2.75,5,2,2,93.6
175,20,415,0.07475,0.0529,3.6,2.6,3,5,2,2,93.6
176,20,415,0.07475,0.0529,3.6,2.6,3.2,5,2,2,93.6
177,20,415,0.07475,0.0529,2.6,2.6,2.75,5,2,2,67.6
178,20,415,0.07475,0.0529,2.6,2.6,3,5,2,2,67.6
179,20,415,0.07475,0.0529,2.6,2.6,3.2,5,2,2,67.6
180,20,415,0.07475,0.0529,2.6,3.6,2.75,5,2,2,93.6
181,20,415,0.07475,0.0529,2.6,3.6,3,5,2,2,93.6
182,20,415,0.07475,0.0529,2.6,3.6,3.2,5,2,2,93.6
183,20,415,0.07475,0.0529,4.5,2.6,2.75,4,2,2,93.6
184,20,415,0.07475,0.0529,4.5,2.6,3,4,2,2,93.6
185,20,415,0.07475,0.0529,4.5,2.6,3.2,4,2,2,93.6
186,20,415,0.07475,0.0529,3.6,2.6,2.75,4,2,2,74.88
187,20,415,0.07475,0.0529,3.6,2.6,3,4,2,2,74.88
188,20,415,0.07475,0.0529,3.6,2.6,3.2,4,2,2,74.88
189,20,415,0.07475,0.0529,2.6,3.6,2.75,4,2,2,74.88
190,20,415,0.07475,0.0529,2.6,3.6,3,4,2,2,74.88
191,20,415,0.07475,0.0529,2.6,3.6,3.2,4,2,2,74.88
192,20,415,0.07475,0.0529,2.6,2.6,2.75,4,3,2,81.12
193,20,415,0.07475,0.0529,2.6,2.6,3,4,3,2,81.12
194,20,415,0.07475,0.0529,2.6,2.6,3.2,4,3,2,81.12
195,20,415,0.07475,0.0529,2.6,4.5,2.75,4,2,2,93.6
196,20,415,0.07475,0.0529,2.6,4.5,3,4,2,2,93.6
197,20,415,0.07475,0.0529,2.6,4.5,3.2,4,2,2,93.6
