PGA (g),PoE (IO CCP),PoE (IO Experimental),PoE (IO NBC 205 2024),PoE (LS CCP),PoE (LS Experimental),PoE (LS NBC 205 2024),PoE (CP CCP),PoE (CP Experimental),PoE (CP NBC 205 2024)
1.291291291,0.999998288,0.9999575815,1,0.9994850935,0.8473784502,0.9989726351,0.9541260133,0.5004808937,0.8355923498
1.293293293,0.9999983182,0.999958295,1,0.9994916183,0.8478998481,0.9989937429,0.9544029965,0.5012255138,0.8367546466
1.295295295,0.9999983478,0.9999589961,1,0.9994980565,0.8484192579,0.9990144203,0.9546782081,0.5019689779,0.8379098057
1.297297297,0.9999983769,0.999959685,1,0.9995044094,0.8489366879,0.999034676,0.95495166,0.5027112869,0.8390578565
1.299299299,0.9999984054,0.9999603619,1,0.9995106781,0.849452146,0.9990545185,0.9552233639,0.503452442,0.8401988285
1.301301301,0.9999984334,0.999961027,1,0.9995168639,0.8499656403,0.999073956,0.9554933314,0.504192444,0.8413327514
1.303303303,0.9999984609,0.9999616806,1,0.9995229679,0.8504771789,0.9990929968,0.955761574,0.504931294,0.8424596548
1.305305305,0.9999984879,0.9999623228,1,0.9995289911,0.8509867697,0.9991116487,0.9560281032,0.5056689931,0.8435795685
1.307307307,0.9999985143,0.9999629539,1,0.9995349348,0.8514944207,0.9991299197,0.9562929305,0.5064055423,0.8446925224
1.309309309,0.9999985404,0.999963574,1,0.9995407999,0.8520001397,0.9991478174,0.956556067,0.5071409426,0.8457985462
1.311311311,0.9999985659,0.9999641834,1,0.9995465877,0.8525039347,0.9991653493,0.956817524,0.5078751951,0.8468976699
1.313313313,0.9999985909,0.9999647822,1,0.9995522991,0.8530058135,0.9991825229,0.9570773127,0.5086083008,0.8479899236
1.315315315,0.9999986155,0.9999653706,1,0.9995579352,0.8535057839,0.9991993454,0.9573354442,0.5093402608,0.8490753372
1.317317317,0.9999986397,0.9999659489,1,0.9995634971,0.8540038538,0.9992158238,0.9575919295,0.5100710762,0.8501539409
1.319319319,0.9999986634,0.9999665171,1,0.9995689857,0.8545000308,0.9992319651,0.9578467795,0.5108007481,0.8512257648
1.321321321,0.9999986867,0.9999670756,1,0.9995744021,0.8549943227,0.9992477761,0.958100005,0.5115292775,0.852290839
1.323323323,0.9999987096,0.9999676243,1,0.9995797473,0.8554867373,0.9992632635,0.958351617,0.5122566655,0.8533491939
1.325325325,0.999998732,0.9999681636,1,0.9995850221,0.8559772821,0.9992784338,0.958601626,0.5129829132,0.8544008595
1.327327327,0.999998754,0.9999686936,1,0.9995902277,0.8564659647,0.9992932935,0.9588500427,0.5137080217,0.8554458663
1.329329329,0.9999987757,0.9999692145,1,0.999595365,0.8569527929,0.9993078489,0.9590968777,0.5144319922,0.8564842446
1.331331331,0.9999987969,0.9999697264,1,0.9996004348,0.8574377741,0.999322106,0.9593421415,0.5151548257,0.8575160246
1.333333333,0.9999988178,0.9999702295,1,0.9996054381,0.8579209159,0.999336071,0.9595858446,0.5158765234,0.8585412367
