Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
7,139,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.87258,0.29517,0.29517,0.25723,0.52347,0.40065,0.38329,689.256,0.853,0.531,0.0,0.0,0.853,24.768,12.453
6,139,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,4,3,2,108.0,1.33333,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.93132,0.30383,0.2998,0.26487,0.53598,0.4143,0.41125,872.119,1.008,0.561,0.0,0.0,1.008,35.704,18.121
5,139,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,5,3,2,135.0,1.66667,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.89872,0.30948,0.30272,0.27186,0.53975,0.42898,0.41781,1061.515,1.04,0.579,0.0,0.0,1.04,37.775,19.363
4,139,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,6,3,2,162.0,2.0,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.8887,0.31347,0.30475,0.27804,0.55662,0.45199,0.42437,1230.901,1.046,0.596,0.0,0.0,1.046,38.431,19.85
3,139,20.0,415.0,0.08165,0.09,3.0,3.0,3.1,5,5,2,225.0,1.0,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.98706,0.34743,0.34743,0.3091,0.62704,0.49324,0.48027,1501.157,1.032,0.595,0.0,0.0,1.032,33.023,16.765
1,139,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,5,5,2,225.0,1.0,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.86954,0.31745,0.31745,0.28245,0.56586,0.44596,0.43372,1602.898,1.054,0.564,0.0,0.0,1.054,40.524,20.48
0,139,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,6,5,2,270.0,1.2,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.84825,0.32155,0.31958,0.2872,0.58758,0.45473,0.45278,1864.324,1.053,0.579,0.0,0.0,1.053,40.649,20.752
2,139,20.0,415.0,0.08165,0.09,3.0,3.0,3.1,6,5,2,270.0,1.2,0.0139626,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.99696,0.35191,0.34981,0.31432,0.61772,0.49294,0.49068,1756.524,1.028,0.606,0.0,0.0,1.028,33.586,17.183
7,334,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0139626,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.641,0.29517,0.29517,0.25723,0.52637,0.39141,0.37905,628.968,0.61,0.461,0.0,0.0,0.61,3.696,3.696
6,334,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,4,3,2,108.0,1.33333,0.0139626,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.68418,0.30383,0.2998,0.26487,0.55486,0.41091,0.40491,840.123,0.74,0.526,0.0,0.0,0.74,11.273,5.638
5,334,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,5,3,2,135.0,1.66667,0.0139626,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.65618,0.30948,0.30272,0.27186,0.56273,0.43389,0.41008,1020.852,0.782,0.537,0.0,0.0,0.782,15.883,7.984
7,410,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0139626,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.87404,0.29517,0.29517,0.25723,0.53526,0.39661,0.38346,671.376,0.733,0.551,0.0,0.0,0.733,9.899,5.048
4,334,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,6,3,2,162.0,2.0,0.0139626,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.62388,0.31347,0.30475,0.27804,0.55654,0.4446,0.41273,1236.79,0.928,0.561,0.0,0.0,0.928,26.68,13.582
6,410,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,4,3,2,108.0,1.33333,0.0139626,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.8272,0.30383,0.2998,0.26487,0.54914,0.41274,0.41108,849.268,0.834,0.651,0.0,0.0,0.834,17.09,9.411
7,496,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0139626,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.89538,0.29517,0.29517,0.25723,0.47996,0.38878,0.36504,694.362,0.875,0.585,0.0,0.0,0.875,20.543,10.579
7,949,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0139626,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.8807,0.29517,0.29517,0.25723,0.53797,0.40979,0.39518,727.629,1.038,0.597,0.0,0.0,1.038,34.813,17.811
5,410,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,5,3,2,135.0,1.66667,0.0139626,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.85734,0.30948,0.30272,0.27186,0.5668,0.44232,0.42318,1059.381,0.956,0.692,0.0,0.0,0.956,25.064,13.806
1,334,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,5,5,2,225.0,1.0,0.0139626,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.62901,0.31745,0.31745,0.28245,0.55855,0.43375,0.42145,1601.437,0.971,0.514,0.0,0.0,0.971,35.846,35.846
3,334,20.0,415.0,0.08165,0.09,3.0,3.0,3.1,5,5,2,225.0,1.0,0.0139626,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.69374,0.34743,0.34743,0.3091,0.62537,0.48773,0.47406,1531.513,1.114,0.528,0.0,0.0,1.114,57.004,57.004
6,496,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,4,3,2,108.0,1.33333,0.0139626,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.88761,0.30383,0.2998,0.26487,0.45997,0.39002,0.36887,854.159,0.863,0.529,0.0,0.0,0.863,22.253,11.157
7,960,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0139626,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.98817,0.29517,0.29517,0.25723,0.53418,0.40817,0.39157,704.708,0.964,0.53,0.0,0.0,0.964,29.054,14.583
4,410,20.0,415.0,0.08165,0.09,3.0,3.0,2.9,6,3,2,162.0,2.0,0.0139626,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.88389,0.31347,0.30475,0.27804,0.57785,0.46565,0.43067,1256.569,1.034,0.714,0.0,0.0,1.034,30.251,16.677
