Sample no,RSN,fc (MPa),fy (MPa),Ab (m2),Ac (m2),Lx (m),Ly (m),Lz (m),Nx,Ny,Nz,Ap (m2),AR,Kfc,ρ,Tm (sec),PGA (g),PGV (cm/sec),PGV/PGA (sec),A RMS (g),V RMS (cm/sec),IA,CAV (cm/sec),Tpred (sec),Dsig (sec),Sa(T1) (g),T1 (s),T2 (s),T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.89052,0.31298,0.31298,0.26795,0.51046,0.42629,0.39258,223.392,1.002,0.501,0,0,1.002,37.83,37.83
0,334,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.627,0.31298,0.31298,0.26795,0.52134,0.41743,0.39119,215.354,0.753,0.488,0,0,0.753,10.805,10.805
0,410,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.88101,0.31298,0.31298,0.26795,0.52453,0.42443,0.39621,218.461,0.851,0.572,0,0,0.851,17.111,17.111
0,496,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.883,0.31298,0.31298,0.26795,0.47294,0.40153,0.36663,221.513,0.892,0.491,0,0,0.892,26.167,26.167
0,949,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.97971,0.31298,0.31298,0.26795,0.51799,0.42474,0.39496,233.569,1.1,0.532,0,0,1.1,39.755,39.755
0,960,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.98301,0.31298,0.31298,0.26795,0.52381,0.42937,0.40008,221.118,0.905,0.525,0,0,0.905,30.184,30.184
0,962,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.87002,0.31298,0.31298,0.26795,0.47563,0.42604,0.38191,234.077,1.434,0.574,0,0,1.434,78.05,78.05
0,990,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.94471,0.31298,0.31298,0.26795,0.51734,0.41635,0.3864,227.176,0.968,0.537,0,0,0.968,24.907,24.907
0,998,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.9058,0.31298,0.31298,0.26795,0.52469,0.42615,0.39614,234.239,1.302,0.636,0,0,1.302,42.908,21.494
0,1045,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.86134,0.31298,0.31298,0.26795,0.51538,0.41953,0.38924,222.564,0.927,0.543,0,0,0.927,20.874,20.874
0,1052,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.87646,0.31298,0.31298,0.26795,0.5113,0.41288,0.38451,227.552,0.909,0.493,0,0,0.909,22.99,22.99
0,2476,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.75239,0.31298,0.31298,0.26795,0.49077,0.38303,0.36238,202.318,0.6,0.415,0,0,0.6,0.447,0.447
0,2510,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.79322,0.31298,0.31298,0.26795,0.51773,0.41881,0.39157,217.489,0.772,0.497,0,0,0.772,14.848,14.848
0,2990,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.86531,0.31298,0.31298,0.26795,0.52719,0.43159,0.40394,231.845,1.249,0.554,0,0,1.249,53.041,53.041
0,3282,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.68186,0.31298,0.31298,0.26795,0.51644,0.41229,0.38475,222.023,0.895,0.583,0,0,0.895,18.21,18.21
0,3285,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.86936,0.31298,0.31298,0.26795,0.52264,0.42695,0.39698,227.027,1.012,0.571,0,0,1.012,61.283,61.283
0,3319,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.96541,0.31298,0.31298,0.26795,0.52156,0.42779,0.39873,225.624,0.992,0.544,0,0,0.992,43.765,43.765
0,3749,15,415,0.07475,0.0729,2.6,2.6,2.9,2,2,2,27.04,1,1.2,0.0114919,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.90256,0.31298,0.31298,0.26795,0.52283,0.42467,0.39425,231.664,1.066,0.585,0,0,1.066,36.027,36.027
