Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,15.0,415.0,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3.0,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,1.01943,0.38416,0.35873,0.34231,0.61775,0.53,0.47356,591.466,1.261,0.657,0.0,0.0,1.261,32.035,32.035
10,949,15.0,415.0,0.07475,0.0529,2.6,3.6,3.0,5,2,2,93.6,1.80556,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,1.05623,0.50922,0.46291,0.4393,0.80412,0.64863,0.61372,515.28,3.115,1.161,0.0,0.0,3.115,100.0,100.0
20,998,15.0,415.0,0.07475,0.0529,2.6,3.6,3.2,4,2,2,74.88,1.44444,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.88022,0.54711,0.50108,0.46567,0.88139,0.69136,0.67414,392.744,2.55,0.898,0.0,0.0,2.55,77.128,77.084
15,962,15.0,415.0,0.07475,0.0529,3.6,2.6,2.75,4,2,2,74.88,2.76923,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.84779,0.43058,0.41936,0.37742,0.70077,0.59287,0.56589,462.657,2.839,0.802,0.0,0.0,2.839,100.0,100.0
12,4455,15.0,415.0,0.07475,0.0529,4.5,2.6,2.75,4,2,2,93.6,3.46154,0.0085518,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.87728,0.47695,0.47664,0.41844,0.77005,0.65977,0.62397,434.546,1.658,0.754,0.0,0.0,1.658,61.758,61.718
5,410,15.0,415.0,0.07475,0.0529,3.6,2.6,3.2,5,2,2,93.6,3.46154,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.85727,0.54266,0.52415,0.48077,0.83133,0.71922,0.67382,423.729,1.261,0.792,0.0,0.0,1.261,17.108,17.108
10,960,15.0,415.0,0.07475,0.0529,2.6,3.6,3.0,5,2,2,93.6,1.80556,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.83431,0.50922,0.46291,0.4393,0.79455,0.6412,0.61309,495.937,2.496,0.846,0.0,0.0,2.496,98.617,98.574
17,4863,15.0,415.0,0.07475,0.0529,3.6,2.6,3.2,4,2,2,74.88,2.76923,0.0085518,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.85364,0.53274,0.51769,0.46678,0.86103,0.72897,0.69208,373.487,1.606,0.997,0.0,0.0,1.606,52.674,52.559
20,1045,15.0,415.0,0.07475,0.0529,2.6,3.6,3.2,4,2,2,74.88,1.44444,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.86096,0.54711,0.50108,0.46567,0.84294,0.66327,0.65643,404.307,3.376,0.946,0.0,0.0,3.376,100.0,100.0
7,3749,15.0,415.0,0.07475,0.0529,2.6,2.6,3.0,5,2,2,67.6,2.5,0.0085518,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.94071,0.42872,0.40234,0.37749,0.6886,0.57859,0.53331,492.773,1.869,0.713,0.0,0.0,1.869,72.035,72.035
20,1052,15.0,415.0,0.07475,0.0529,2.6,3.6,3.2,4,2,2,74.88,1.44444,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.83543,0.54711,0.50108,0.46567,0.87808,0.68168,0.66385,370.971,1.581,0.999,0.0,0.0,1.581,33.73,33.545
15,990,15.0,415.0,0.07475,0.0529,3.6,2.6,2.75,4,2,2,74.88,2.76923,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.84191,0.43058,0.41936,0.37742,0.67709,0.57212,0.54401,433.067,1.41,0.867,0.0,0.0,1.41,57.595,57.414
12,4458,15.0,415.0,0.07475,0.0529,4.5,2.6,2.75,4,2,2,93.6,3.46154,0.0085518,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.8898,0.47695,0.47664,0.41844,0.77086,0.66143,0.63074,445.573,2.285,0.799,0.0,0.0,2.285,100.0,100.0
5,496,15.0,415.0,0.07475,0.0529,3.6,2.6,3.2,5,2,2,93.6,3.46154,0.0085518,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.93238,0.54266,0.52415,0.48077,0.77305,0.67314,0.65814,454.111,1.748,0.965,0.0,0.0,1.748,38.251,38.067
10,962,15.0,415.0,0.07475,0.0529,2.6,3.6,3.0,5,2,2,93.6,1.80556,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.84879,0.50922,0.46291,0.4393,0.72784,0.60321,0.59849,520.131,3.821,0.961,0.0,0.0,3.821,100.0,100.0
0,334,15.0,415.0,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3.0,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.71053,0.38416,0.35873,0.34231,0.60696,0.52092,0.46966,607.079,1.357,0.684,0.0,0.0,1.357,49.508,49.508
15,998,15.0,415.0,0.07475,0.0529,3.6,2.6,2.75,4,2,2,74.88,2.76923,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,1.01987,0.43058,0.41936,0.37742,0.69396,0.58931,0.55851,457.205,2.271,0.732,0.0,0.0,2.271,78.411,78.394
5,949,15.0,415.0,0.07475,0.0529,3.6,2.6,3.2,5,2,2,93.6,3.46154,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.94329,0.54266,0.52415,0.48077,0.87358,0.75461,0.69326,483.763,3.344,1.132,0.0,0.0,3.344,100.0,100.0
15,1045,15.0,415.0,0.07475,0.0529,3.6,2.6,2.75,4,2,2,74.88,2.76923,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.86522,0.43058,0.41936,0.37742,0.68348,0.57923,0.54839,465.212,2.615,0.751,0.0,0.0,2.615,93.832,93.815
10,990,15.0,415.0,0.07475,0.0529,2.6,3.6,3.0,5,2,2,93.6,1.80556,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.82187,0.50922,0.46291,0.4393,0.82223,0.66135,0.62107,470.553,1.668,0.929,0.0,0.0,1.668,59.187,59.086
5,960,15.0,415.0,0.07475,0.0529,3.6,2.6,3.2,5,2,2,93.6,3.46154,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.86593,0.54266,0.52415,0.48077,0.86005,0.74296,0.68691,469.207,2.707,0.865,0.0,0.0,2.707,95.799,95.774
12,4863,15.0,415.0,0.07475,0.0529,4.5,2.6,2.75,4,2,2,93.6,3.46154,0.0085518,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.91906,0.47695,0.47664,0.41844,0.76922,0.65873,0.62121,451.083,1.974,0.921,0.0,0.0,1.974,100.0,100.0
15,1052,15.0,415.0,0.07475,0.0529,3.6,2.6,2.75,4,2,2,74.88,2.76923,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.86274,0.43058,0.41936,0.37742,0.68641,0.57951,0.54268,444.779,1.625,0.781,0.0,0.0,1.625,56.344,56.316
0,410,15.0,415.0,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3.0,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.90276,0.38416,0.35873,0.34231,0.62005,0.5362,0.48726,615.991,1.522,0.772,0.0,0.0,1.522,40.468,40.447
10,998,15.0,415.0,0.07475,0.0529,2.6,3.6,3.0,5,2,2,93.6,1.80556,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.88157,0.50922,0.46291,0.4393,0.80519,0.64797,0.6138,502.953,2.406,0.828,0.0,0.0,2.406,75.443,75.407
7,4199,15.0,415.0,0.07475,0.0529,2.6,2.6,3.0,5,2,2,67.6,2.5,0.0085518,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.72047,0.42872,0.40234,0.37749,0.69241,0.58214,0.53641,482.48,1.678,0.761,0.0,0.0,1.678,66.513,66.504
5,962,15.0,415.0,0.07475,0.0529,3.6,2.6,3.2,5,2,2,93.6,3.46154,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.87765,0.54266,0.52415,0.48077,0.76808,0.67003,0.662,482.883,3.796,1.104,0.0,0.0,3.796,100.0,100.0
