Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0201258,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.89168,0.24225,0.24225,0.21362,0.34666,0.27615,0.267,365.874,0.367,0.331,0.0,0.0,0.367,0.0,0.0
3,139,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,5,2,2,90.0,2.5,0.0201258,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.85821,0.26696,0.25424,0.23542,0.39814,0.33025,0.29982,943.777,0.531,0.471,0.0,0.0,0.531,0.0,0.0
6,139,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,4,3,2,108.0,1.33333,0.0201258,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.86042,0.26895,0.26514,0.23509,0.42005,0.32267,0.31857,1144.278,0.569,0.487,0.0,0.0,0.569,0.0,0.0
2,949,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,4,2,2,72.0,2.0,0.0201258,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.84419,0.2622,0.25202,0.22885,0.40527,0.32253,0.29831,796.093,0.539,0.467,0.0,0.0,0.539,0.0,0.0
1,998,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,3,2,2,54.0,1.5,0.0201258,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.89594,0.2549,0.24853,0.22143,0.37445,0.29223,0.2867,592.312,0.483,0.42,0.0,0.0,0.483,0.0,0.0
5,949,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0201258,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.84791,0.26148,0.26148,0.22851,0.40529,0.31134,0.30168,890.675,0.549,0.455,0.0,0.0,0.549,0.0,0.0
0,334,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0201258,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.59972,0.24225,0.24225,0.21362,0.31313,0.26498,0.25042,261.564,0.227,0.198,0.0,0.0,0.227,0.0,0.0
1,4458,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,3,2,2,54.0,1.5,0.0201258,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.83907,0.2549,0.24853,0.22143,0.38136,0.29608,0.28948,573.838,0.464,0.407,0.0,0.0,0.464,0.0,0.0
1,1045,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,3,2,2,54.0,1.5,0.0201258,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.90905,0.2549,0.24853,0.22143,0.37382,0.29297,0.28849,547.0,0.432,0.38,0.0,0.0,0.432,0.0,0.0
0,410,20.0,500.0,0.08165,0.1024,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0201258,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.65057,0.24225,0.24225,0.21362,0.34642,0.27533,0.26632,393.612,0.405,0.352,0.0,0.0,0.405,0.0,0.0
