Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
111,5117,15.0,415.0,0.07475,0.0529,3.6,4.5,2.75,2,2,3,64.8,0.8,0.0085518,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.92738,0.78264,0.7382,0.6627,1.28526,1.00864,0.97487,296.38,5.969,1.859,4.705,0.0,5.969,100.0,100.0
108,2476,15.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81.0,1.0,0.0085518,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.78044,0.8641,0.84327,0.74922,1.37228,1.11369,1.0715,316.354,10.062,1.541,2.913,0.0,10.062,100.0,100.0
101,960,15.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2,0.86667,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.74277,0.87689,0.78541,0.71553,1.38786,1.06321,1.01359,302.574,2.076,1.848,3.818,0.0,3.818,100.0,100.0
115,1052,15.0,415.0,0.07475,0.0529,2.6,2.6,3.0,6,2,4,81.12,3.0,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.49493,0.82697,0.77053,0.73362,1.29127,1.10802,1.02299,498.414,1.074,0.928,2.327,0.631,2.327,100.0,100.0
101,962,15.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2,0.86667,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,1.08904,0.87689,0.78541,0.71553,1.95642,1.48011,1.34811,312.679,2.831,1.653,3.435,0.0,3.435,100.0,100.0
101,990,15.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2,0.86667,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.53795,0.87689,0.78541,0.71553,1.37995,1.03802,0.98745,262.617,1.146,1.152,1.361,0.0,1.361,46.211,40.896
108,2510,15.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81.0,1.0,0.0085518,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.79984,0.8641,0.84327,0.74922,1.43771,1.12725,1.10382,312.537,9.205,1.549,1.948,0.0,9.205,100.0,100.0
111,5259,15.0,415.0,0.07475,0.0529,3.6,4.5,2.75,2,2,3,64.8,0.8,0.0085518,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.82105,0.78264,0.7382,0.6627,1.29299,0.99668,0.95761,299.163,7.258,1.523,2.119,0.0,7.258,100.0,100.0
101,998,15.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2,0.86667,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.71499,0.87689,0.78541,0.71553,1.37098,1.04616,0.99471,310.992,2.555,1.612,2.327,0.0,2.555,84.632,80.524
101,1045,15.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2,0.86667,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.73392,0.87689,0.78541,0.71553,1.34921,1.03921,0.98394,324.405,3.649,1.986,2.623,0.0,3.649,100.0,100.0
101,1052,15.0,415.0,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2,0.86667,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.44178,0.87689,0.78541,0.71553,1.27767,0.994,0.93327,268.802,1.264,1.17,1.865,0.0,1.865,72.712,65.31
104,3319,15.0,415.0,0.07475,0.0529,2.6,3.6,3.2,3,3,3,84.24,0.72222,0.0085518,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.88333,0.79619,0.74908,0.66586,1.29762,1.03068,0.95915,450.589,6.06,1.424,2.318,0.0,6.06,100.0,100.0
108,2990,15.0,415.0,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81.0,1.0,0.0085518,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.95773,0.8641,0.84327,0.74922,1.42389,1.12567,1.09306,294.957,5.247,1.595,3.409,0.0,5.247,100.0,100.0
