Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
72,139,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,3,27.04,1.0,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.92553,0.46548,0.46548,0.39611,0.74961,0.60523,0.55686,224.7,1.118,0.954,0.741,0.0,1.118,38.625,14.03
54,139,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,4,2,2,74.88,2.76923,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,1.02933,0.40108,0.39814,0.33898,0.60541,0.52452,0.50098,388.402,1.367,0.698,0.0,0.0,1.367,60.333,30.402
63,139,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,3,3,2,105.3,1.73077,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.99946,0.47763,0.44652,0.37598,0.6915,0.62905,0.55544,409.954,1.471,0.712,0.0,0.0,1.471,73.601,37.116
84,139,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,3,2,3,56.16,1.08333,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.78918,0.59629,0.55647,0.48521,0.95283,0.72648,0.6719,282.305,0.977,1.131,1.298,0.0,1.298,21.668,12.544
69,139,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,4,3,2,140.4,2.30769,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.96579,0.48988,0.4661,0.3913,0.72798,0.65527,0.59182,512.605,1.585,0.733,0.0,0.0,1.585,74.101,37.57
57,139,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,5,3,2,140.4,2.30769,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.88495,0.43577,0.43288,0.36513,0.73554,0.61127,0.5937,610.381,1.311,0.705,0.0,0.0,1.311,66.707,33.618
75,139,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,5,2,3,67.6,2.5,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.88162,0.52933,0.50038,0.44782,0.83729,0.67979,0.66603,446.431,1.101,1.021,1.344,0.0,1.344,27.244,14.509
78,139,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,4,3,3,81.12,1.33333,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.87805,0.53965,0.53067,0.44809,0.86661,0.71985,0.65955,492.466,1.096,0.995,1.423,0.0,1.423,28.264,14.47
87,139,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,6,2,3,112.32,2.16667,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.70627,0.64467,0.58098,0.54184,1.06651,0.82992,0.78525,484.581,0.874,0.959,1.259,0.0,1.259,17.822,12.162
66,139,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,5,5,2,292.5,1.73077,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.88581,0.53482,0.50323,0.4266,0.7899,0.71951,0.63848,911.553,1.537,0.811,0.0,0.0,1.537,68.51,35.493
51,139,15.0,415.0,0.07475,0.0729,3.6,3.6,2.9,5,5,2,324.0,1.0,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.87563,0.54114,0.54114,0.45324,0.84895,0.7464,0.65382,893.396,1.503,0.88,0.0,0.0,1.503,66.545,34.979
60,139,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,6,5,2,280.8,1.66154,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.99559,0.47499,0.46437,0.39451,0.71895,0.64612,0.58591,1064.59,1.626,0.707,0.0,0.0,1.626,76.031,38.282
61,3282,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,2,2,2,46.8,1.73077,0.0114919,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.86864,0.4284,0.39821,0.34583,0.67602,0.56974,0.54741,250.747,2.625,0.553,0.0,0.0,2.625,100.0,189.007
81,139,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,5,5,3,169.0,1.0,0.0114919,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.82103,0.57777,0.57777,0.48795,0.95419,0.79271,0.7163,846.333,0.987,0.959,1.683,0.0,1.683,25.228,14.196
72,334,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,3,27.04,1.0,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.80583,0.46548,0.46548,0.39611,0.78835,0.61521,0.57476,238.86,1.934,0.828,0.57,0.0,1.934,100.0,103.163
54,334,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,4,2,2,74.88,2.76923,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.707,0.40108,0.39814,0.33898,0.66263,0.54385,0.54103,391.575,1.792,0.582,0.0,0.0,1.792,100.0,169.854
63,334,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,3,3,2,105.3,1.73077,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.76675,0.47763,0.44652,0.37598,0.74721,0.64874,0.59367,447.326,2.991,0.594,0.0,0.0,2.991,100.0,189.68
61,3285,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,2,2,2,46.8,1.73077,0.0114919,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.86072,0.4284,0.39821,0.34583,0.69016,0.57824,0.55967,251.758,2.892,0.607,0.0,0.0,2.892,100.0,167.114
84,334,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,3,2,3,56.16,1.08333,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.80241,0.59629,0.55647,0.48521,0.95822,0.75322,0.69336,349.582,3.673,1.138,0.94,0.0,3.673,100.0,186.79
72,410,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,3,27.04,1.0,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.91532,0.46548,0.46548,0.39611,0.79081,0.62116,0.57985,220.547,0.942,0.838,0.597,0.0,0.942,32.053,16.894
69,334,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,4,3,2,140.4,2.30769,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.77846,0.48988,0.4661,0.3913,0.78796,0.6723,0.63628,563.494,3.217,0.659,0.0,0.0,3.217,100.0,219.847
54,410,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,4,2,2,74.88,2.76923,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.89386,0.40108,0.39814,0.33898,0.67601,0.55085,0.54959,385.108,1.363,0.619,0.0,0.0,1.363,56.332,28.211
63,410,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,3,3,2,105.3,1.73077,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.91306,0.47763,0.44652,0.37598,0.72189,0.64111,0.57479,413.665,1.415,0.656,0.0,0.0,1.415,60.396,30.275
57,334,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,5,3,2,140.4,2.30769,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.72497,0.43577,0.43288,0.36513,0.7214,0.60339,0.58401,645.47,2.609,0.571,0.0,0.0,2.609,100.0,304.263
72,496,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,3,27.04,1.0,0.0114919,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.93767,0.46548,0.46548,0.39611,0.73073,0.60407,0.55239,235.309,1.313,0.954,0.655,0.0,1.313,47.386,16.48
75,334,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,5,2,3,67.6,2.5,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.80842,0.52933,0.50038,0.44782,0.88573,0.7039,0.67462,491.792,2.679,0.923,0.709,0.0,2.679,100.0,109.083
84,410,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,3,2,3,56.16,1.08333,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.63273,0.59629,0.55647,0.48521,0.94702,0.72537,0.66985,293.477,1.093,1.048,1.111,0.0,1.111,28.145,11.245
67,3282,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,3,2,2,70.2,2.59615,0.0114919,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.75498,0.44548,0.42685,0.36041,0.74199,0.60728,0.59959,346.264,3.298,0.608,0.0,0.0,3.298,100.0,130.682
61,3319,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,2,2,2,46.8,1.73077,0.0114919,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.84078,0.4284,0.39821,0.34583,0.6828,0.57882,0.55468,246.075,2.175,0.793,0.0,0.0,2.175,100.0,111.569
72,949,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,3,27.04,1.0,0.0114919,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.88523,0.46548,0.46548,0.39611,0.78611,0.62936,0.58577,246.453,2.231,1.129,0.845,0.0,2.231,100.0,38.918
54,496,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,4,2,2,74.88,2.76923,0.0114919,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.91404,0.40108,0.39814,0.33898,0.60865,0.54249,0.50778,394.96,1.619,0.682,0.0,0.0,1.619,66.664,33.5
61,3749,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,2,2,2,46.8,1.73077,0.0114919,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.94191,0.4284,0.39821,0.34583,0.65821,0.56949,0.53948,249.198,2.366,0.649,0.0,0.0,2.366,100.0,78.969
78,334,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,4,3,3,81.12,1.33333,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.79612,0.53965,0.53067,0.44809,0.90481,0.7273,0.66836,550.522,3.025,0.92,0.717,0.0,3.025,100.0,131.934
72,960,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,3,27.04,1.0,0.0114919,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.89383,0.46548,0.46548,0.39611,0.77869,0.61763,0.5719,234.371,1.722,0.927,0.651,0.0,1.722,98.431,33.512
69,410,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,4,3,2,140.4,2.30769,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.89405,0.48988,0.4661,0.3913,0.79716,0.67247,0.64294,514.902,1.406,0.669,0.0,0.0,1.406,59.589,29.906
63,496,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,3,3,2,105.3,1.73077,0.0114919,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.95035,0.47763,0.44652,0.37598,0.7279,0.64221,0.58099,433.352,2.221,0.794,0.0,0.0,2.221,99.74,50.906
87,334,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,6,2,3,112.32,2.16667,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.79168,0.64467,0.58098,0.54184,1.0862,0.85902,0.82439,652.897,5.406,1.164,1.198,0.0,5.406,100.0,265.624
54,949,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,4,2,2,74.88,2.76923,0.0114919,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,1.02846,0.40108,0.39814,0.33898,0.68435,0.55874,0.55615,409.524,2.265,0.753,0.0,0.0,2.265,100.0,65.49
84,496,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,3,2,3,56.16,1.08333,0.0114919,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.76724,0.59629,0.55647,0.48521,0.86362,0.7164,0.64392,294.896,1.164,1.226,1.065,0.0,1.226,35.301,13.33
61,4199,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,2,2,2,46.8,1.73077,0.0114919,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.72054,0.4284,0.39821,0.34583,0.68011,0.57745,0.55484,235.859,1.773,0.612,0.0,0.0,1.773,100.0,82.729
63,949,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,3,3,2,105.3,1.73077,0.0114919,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.89939,0.47763,0.44652,0.37598,0.76782,0.66022,0.60731,456.929,3.246,0.777,0.0,0.0,3.246,100.0,96.942
54,960,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,4,2,2,74.88,2.76923,0.0114919,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.9959,0.40108,0.39814,0.33898,0.62622,0.53908,0.51096,389.757,1.472,0.621,0.0,0.0,1.472,97.567,48.82
57,410,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,5,3,2,140.4,2.30769,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.82028,0.43577,0.43288,0.36513,0.68758,0.59283,0.55642,614.552,1.397,0.677,0.0,0.0,1.397,57.978,29.132
72,962,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,3,27.04,1.0,0.0114919,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.88094,0.46548,0.46548,0.39611,0.74731,0.61899,0.56272,256.329,3.222,1.037,0.712,0.0,3.222,100.0,92.732
61,4455,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,2,2,2,46.8,1.73077,0.0114919,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.86339,0.4284,0.39821,0.34583,0.68698,0.58178,0.55897,231.899,1.191,0.712,0.0,0.0,1.191,52.079,26.494
66,334,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,5,5,2,292.5,1.73077,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.80764,0.53482,0.50323,0.4266,0.86867,0.75185,0.69319,1038.013,4.139,0.746,0.0,0.0,4.139,100.0,312.191
51,334,15.0,415.0,0.07475,0.0729,3.6,3.6,2.9,5,5,2,324.0,1.0,0.0114919,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.79153,0.54114,0.54114,0.45324,0.90793,0.77009,0.69188,1067.607,4.869,0.834,0.0,0.0,4.869,100.0,379.011
84,949,15.0,415.0,0.07475,0.0729,2.6,3.6,2.9,3,2,3,56.16,1.08333,0.0114919,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,1.02785,0.59629,0.55647,0.48521,1.02363,0.78932,0.74276,346.132,3.353,1.347,1.112,0.0,3.353,100.0,68.113
61,4458,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,2,2,2,46.8,1.73077,0.0114919,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.8795,0.4284,0.39821,0.34583,0.66731,0.57163,0.54646,232.831,1.565,0.577,0.0,0.0,1.565,100.0,144.649
55,3282,15.0,415.0,0.07475,0.0729,3.6,2.6,2.9,3,3,2,84.24,1.38462,0.0114919,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.92429,0.41767,0.40369,0.3391,0.68678,0.57317,0.52594,445.012,2.779,0.544,0.0,0.0,2.779,100.0,203.905
63,960,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,3,3,2,105.3,1.73077,0.0114919,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.88751,0.47763,0.44652,0.37598,0.75553,0.64604,0.59591,433.492,2.471,0.562,0.0,0.0,2.471,100.0,151.549
75,410,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,5,2,3,67.6,2.5,0.0114919,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.88119,0.52933,0.50038,0.44782,0.89258,0.70587,0.66549,427.871,0.891,0.828,0.678,0.0,0.891,22.197,7.844
69,496,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,4,3,2,140.4,2.30769,0.0114919,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.95405,0.48988,0.4661,0.3913,0.76609,0.6668,0.62124,538.097,2.202,0.797,0.0,0.0,2.202,100.0,51.311
61,4863,15.0,415.0,0.07475,0.0729,4.5,2.6,2.9,2,2,2,46.8,1.73077,0.0114919,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.89538,0.4284,0.39821,0.34583,0.66456,0.57642,0.54541,236.237,1.451,0.633,0.0,0.0,1.451,100.0,53.705
72,990,15.0,415.0,0.07475,0.0729,2.6,2.6,2.9,2,2,3,27.04,1.0,0.0114919,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.89513,0.46548,0.46548,0.39611,0.80944,0.64818,0.60239,224.619,1.152,0.964,0.806,0.0,1.152,62.789,22.715
