Sample_no,RSN,fc_(MPa),fy_(MPa),Ab_(m2),Ac_(m2),Lx_(m),Ly_(m),Lz_(m),Nx,Ny,Nz,Ap_(m2),AR,Kfc,ρ,Tm_(sec),PGA_(g),PGV_(cm/sec),PGV/PGA_(sec),A_RMS_(g),V_RMS_(cm/sec),IA,CAV_(cm/sec),Tpred_(sec),Dsig_(sec),Sa(T1)_(g),T1_(s),T2_(s),T3_(s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
0,4199,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.54693,0.24225,0.24225,0.21362,0.31581,0.26587,0.25178,266.529,0.236,0.219,0,0,0.236,0,0
0,4455,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.94939,0.24225,0.24225,0.21362,0.34891,0.277,0.2683,366.841,0.375,0.345,0,0,0.375,0,0
0,4458,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.87313,0.24225,0.24225,0.21362,0.34889,0.27666,0.26751,374.705,0.381,0.333,0,0,0.381,0,0
0,4863,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.88385,0.24225,0.24225,0.21362,0.35458,0.27903,0.2713,393.334,0.407,0.356,0,0,0.407,0,0
0,5117,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.92356,0.24225,0.24225,0.21362,0.35261,0.27823,0.27013,389.288,0.406,0.385,0,0,0.406,0,0
0,5259,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.60807,0.24225,0.24225,0.21362,0.32044,0.26758,0.25417,284.307,0.255,0.22,0,0,0.255,0,0
0,5470,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,0.8953,0.43745,80.26981,0.18705,0.04725,10.14236,8.39287,5262.83169,0.96,55.01,0.93121,0.24225,0.24225,0.21362,0.35423,0.27888,0.27105,402.483,0.419,0.361,0,0,0.419,0,0
0,5665,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.4795,0.40191,95.69703,0.24272,0.04227,15.28482,8.26049,5424.87591,0.82,55.1,0.89136,0.24225,0.24225,0.21362,0.35395,0.27857,0.2707,398.52,0.419,0.372,0,0,0.419,0,0
0,5676,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.57638,0.24225,0.24225,0.21362,0.32485,0.26925,0.25659,304.345,0.28,0.24,0,0,0.28,0,0
0,5814,20,500,0.08165,0.1024,3,3,2.9,2,2,2,36,1,1.44,0.0201258,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,0.90668,0.24225,0.24225,0.21362,0.35987,0.28072,0.27369,413.101,0.437,0.382,0,0,0.437,0,0
1,139,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.90594,0.2549,0.24853,0.22143,0.37758,0.29513,0.28974,565.251,0.457,0.408,0,0,0.457,0,0
1,334,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.60575,0.2549,0.24853,0.22143,0.35399,0.28101,0.27958,453.767,0.331,0.287,0,0,0.331,0,0
1,410,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.7561,0.2549,0.24853,0.22143,0.36997,0.28938,0.28437,553.126,0.441,0.393,0,0,0.441,0,0
1,496,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.87411,0.2549,0.24853,0.22143,0.35152,0.28098,0.27975,535.369,0.415,0.353,0,0,0.415,0,0
1,949,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.8704,0.2549,0.24853,0.22143,0.38623,0.29866,0.29087,638.998,0.538,0.464,0,0,0.538,0,0
1,960,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.88483,0.2549,0.24853,0.22143,0.37801,0.29576,0.29084,621.75,0.519,0.451,0,0,0.519,0,0
1,962,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.9475,0.2549,0.24853,0.22143,0.31715,0.27443,0.26167,575.32,0.464,0.413,0,0,0.464,0,0
