Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
0,949,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,1.00608,0.22541,0.22541,0.19873,0.33483,0.25226,0.24859,370.181,0.303,0.327,0.0,0.0,0.327,0.0,0.0
3,949,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.92722,0.24566,0.24566,0.21654,0.3894,0.28107,0.28046,433.649,0.44,0.448,0.0,0.0,0.448,0.0,0.0
0,960,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.88613,0.22541,0.22541,0.19873,0.34255,0.25375,0.2506,394.41,0.329,0.334,0.0,0.0,0.334,0.0,0.0
3,3282,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.59245,0.24566,0.24566,0.21654,0.3293,0.26591,0.2559,289.228,0.239,0.239,0.0,0.0,0.239,0.0,0.0
0,3282,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.62681,0.22541,0.22541,0.19873,0.29184,0.24146,0.23045,276.157,0.195,0.197,0.0,0.0,0.197,0.0,0.0
3,960,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.88079,0.24566,0.24566,0.21654,0.37994,0.27965,0.27678,422.159,0.426,0.441,0.0,0.0,0.441,0.0,0.0
1,410,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0180545,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.64191,0.24282,0.24282,0.21219,0.37961,0.27896,0.27404,813.186,0.397,0.411,0.0,0.0,0.411,0.0,0.0
4,410,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,3,3,2,81.0,1.0,0.0180545,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.88855,0.26476,0.26476,0.23134,0.41955,0.30615,0.30126,757.317,0.41,0.408,0.0,0.0,0.41,0.0,0.0
0,962,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,1.04092,0.22541,0.22541,0.19873,0.28408,0.2441,0.22917,429.332,0.369,0.381,0.0,0.0,0.381,0.0,0.0
3,962,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.97301,0.24566,0.24566,0.21654,0.30354,0.264,0.24662,401.856,0.393,0.397,0.0,0.0,0.397,0.0,0.0
0,990,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.98167,0.22541,0.22541,0.19873,0.34524,0.25471,0.25157,397.162,0.34,0.362,0.0,0.0,0.362,0.0,0.0
3,990,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.8488,0.24566,0.24566,0.21654,0.39035,0.28157,0.2802,409.699,0.409,0.422,0.0,0.0,0.422,0.0,0.0
