Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
36,139,20.0,500.0,0.08875,0.1225,4.0,3.0,2.9,2,2,2,48.0,1.33333,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.86463,0.27343,0.25532,0.23013,0.41098,0.32011,0.31365,483.91,0.463,0.502,0.0,0.0,0.502,0.0,0.0
33,139,20.0,500.0,0.08875,0.1225,3.0,4.0,3.1,3,2,2,72.0,1.125,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.88988,0.31316,0.28489,0.2615,0.53051,0.3497,0.34101,740.009,0.73,0.83,0.0,0.0,0.83,0.375,0.375
32,139,20.0,500.0,0.08875,0.1225,3.0,4.0,2.9,3,2,2,72.0,1.125,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.87228,0.28774,0.26128,0.24007,0.50748,0.32568,0.31392,779.815,0.699,0.783,0.0,0.0,0.783,0.353,0.353
37,139,20.0,500.0,0.08875,0.1225,4.0,3.0,2.9,3,3,2,108.0,1.33333,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.8658,0.29458,0.27548,0.24578,0.46341,0.35511,0.35234,1123.676,0.646,0.664,0.0,0.0,0.664,0.221,0.221
31,139,20.0,500.0,0.08875,0.1225,3.0,4.0,3.1,4,3,2,144.0,1.0,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.84771,0.32987,0.30417,0.27646,0.62149,0.3942,0.39306,1432.675,0.934,1.024,0.0,0.0,1.024,5.923,3.253
34,139,20.0,500.0,0.08875,0.1225,3.0,4.0,2.9,5,3,2,180.0,1.25,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.90823,0.30847,0.28105,0.26111,0.54721,0.37322,0.35507,1767.056,0.812,0.874,0.0,0.0,0.874,3.925,1.929
35,139,20.0,500.0,0.08875,0.1225,3.0,4.0,3.1,5,3,2,180.0,1.25,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.8771,0.33585,0.30658,0.28452,0.61549,0.41333,0.39086,1728.292,0.953,1.047,0.0,0.0,1.047,6.606,3.756
38,139,20.0,500.0,0.08875,0.1225,4.0,3.0,2.9,5,5,2,300.0,1.33333,0.0180545,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11.0,0.88295,0.3148,0.29476,0.26864,0.52408,0.41173,0.40027,2860.0,0.726,0.717,0.0,0.0,0.726,2.46,2.46
36,334,20.0,500.0,0.08875,0.1225,4.0,3.0,2.9,2,2,2,48.0,1.33333,0.0180545,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.56741,0.27343,0.25532,0.23013,0.3808,0.30464,0.30349,371.469,0.307,0.32,0.0,0.0,0.32,0.0,0.0
33,334,20.0,500.0,0.08875,0.1225,3.0,4.0,3.1,3,2,2,72.0,1.125,0.0180545,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.62552,0.31316,0.28489,0.2615,0.51678,0.34088,0.32895,563.813,0.489,0.529,0.0,0.0,0.529,0.0,0.0
