PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,1.5338132876780424e-240,1.9835500268186365e-81,9.302216194733867e-65
0.002002002002002002,1.7808650774387985e-39,1.04736622569842e-16,3.2699647198113805e-15
0.004004004004004004,9.232340290815976e-30,2.4812631538912687e-13,1.726237443393093e-12
0.006006006006006006,9.617007359859552e-25,1.4947669519183497e-11,4.9182476666069895e-11
0.008008008008008008,1.761953121806828e-21,2.2429126987386734e-10,4.59616014091904e-10
0.01001001001001001,4.048664421929899e-19,1.6360030443628688e-09,2.3995839104035487e-09
0.012012012012012012,2.6717233431366808e-17,7.707686555365797e-09,8.787229228816837e-09
0.014014014014014014,7.729714506972688e-16,2.7144297247322143e-08,2.538363569491009e-08
0.016016016016016016,1.2506157790010048e-14,7.776026261752324e-08,6.192490616009853e-08
0.018018018018018018,1.3172996086075508e-13,1.9107658161214666e-07,1.3318194870224768e-07
0.02002002002002002,9.99164393421241e-13,4.172432497329638e-07,2.59877257378406e-07
0.022022022022022022,5.853410771717496e-12,8.2989733493632e-07,4.694229192391602e-07
0.024024024024024024,2.785697587309628e-11,1.5306392668140985e-06,7.964689483629339e-07
0.026026026026026026,1.1181525853293477e-10,2.6528995025755933e-06,1.2832671253688523e-06
0.028028028028028028,3.895034375744659e-10,4.3650542875893755e-06,1.9798649894437862e-06
0.03003003003003003,1.2039399006913518e-09,6.87272298069206e-06,2.94414950021568e-06
0.03203203203203203,3.360552507321585e-09,1.042023717464099e-05,4.241761726062221e-06
0.03403403403403403,8.59133156632713e-09,1.5291313972701496e-05,5.9459038544959224e-06
0.036036036036036036,2.034928580218439e-08,2.180899429137708e-05,8.137058638860156e-06
0.03803803803803804,4.508110663108498e-08,3.033492450280414e-05,1.0902639613930767e-05
0.04004004004004004,9.415154008641379e-08,4.12680686376602e-05,1.433658836801976e-05
0.04204204204204204,1.8660928134515556e-07,5.5042940978925915e-05,1.8538933061798646e-05
0.044044044044044044,3.529877340627327e-07,7.21274470448319e-05,2.3615320360637212e-05
0.04604604604604605,6.403225001796593e-07,9.302041615859934e-05,2.9676531068271717e-05
0.04804804804804805,1.1185403395175112e-06,0.00011824890216221703,3.6837988049438795e-05
0.050050050050050046,1.8883325064532653e-06,0.00014836532119143244,4.521926351929606e-05
0.05205205205205205,3.090571173667651e-06,0.00018394448739599058,5.494359145566044e-05
0.05405405405405406,4.917264485166133e-06,0.0002255805994868893,6.6137389745959e-05
0.056056056056056056,7.6239776749532825e-06,0.0002738842233051517,7.892979569969346e-05
0.058058058058058054,1.154357888919893e-05,0.0003294793084141701,9.345221772279312e-05
0.06006006006006006,1.7101102934425118e-05,0.0003930002701228754,0.0001098379052457705
0.062062062062062065,2.4829467742415843e-05,0.00046508916239804154,0.00012822153840704551
0.06406406406406406,3.538572980376805e-05,0.0005463929618304395,0.00014873883850120148
0.06606606606606606,4.956752827323531e-05,0.0006375609781649703,0.00017152619979566991
0.06806806806806806,6.832934413806489e-05,0.0007392424028561691,0.00019672034298623766
0.07007007007007007,9.279819119418256e-05,0.000852084003624376,0.00022445799029106831
0.07207207207207207,0.0001242883592891496,0.0009767279700159952,0.00025487556196519666
