PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,3.0074956301815245e-181,8.426269175770631e-190,5.526651758299038e-133
0.002002002002002002,6.387123024749988e-27,4.690733792893476e-32,1.9169967211315516e-25
0.004004004004004004,8.037186629586685e-20,2.300447989860685e-24,6.068883617547697e-20
0.006006006006006006,3.323216285185713e-16,2.2108346790043226e-20,4.667450526616852e-17
0.008008008008008008,7.04572700315104e-14,8.70681240772969e-18,3.703290986790743e-15
0.01001001001001001,3.279550715083469e-12,6.628302399583913e-16,9.066599685086753e-14
0.012012012012012012,6.169025631657396e-11,1.8774613697972603e-14,1.0901871903145659e-12
0.014014014014014014,6.395277689803283e-10,2.765039384432744e-13,8.172230170948671e-12
0.016016016016016016,4.364656215443417e-09,2.5672080332553926e-12,4.383387132347617e-11
0.018018018018018018,2.190479113889782e-08,1.694874981188729e-11,1.8341355736594527e-10
0.02002002002002002,8.697612853945196e-08,8.618636135566444e-11,6.341423059259846e-10
0.022022022022022022,2.8743763282261804e-07,3.568559547753381e-10,1.8857820475620546e-09
0.024024024024024024,8.199558698096778e-07,1.2522842055173444e-09,4.965223539892552e-09
0.026026026026026026,2.074237142170179e-06,3.837061899294963e-09,1.1827934279037618e-08
0.028028028028028028,4.7494688388255495e-06,1.0500964759815306e-08,2.5915710723403412e-08
0.03003003003003003,1.0001150000094422e-05,2.6124833989791007e-08,5.290339279609186e-08
0.03203203203203203,1.9611923304027766e-05,5.99150640335372e-08,1.0164806589408296e-07
0.03403403403403403,3.617624398108288e-05,1.2810101723759544e-07,1.8534396491810083e-07
0.036036036036036036,6.328632226917051e-05,2.5767774212493067e-07,3.228758844751561e-07
0.03803803803803804,0.00010570597690325781,4.913446176958865e-07,5.403542637065627e-07
0.04004004004004004,0.00016951974735936754,8.937414936312953e-07,8.728068745472277e-07
0.04204204204204204,0.0002622465319576608,1.5590220490159992e-06,1.3659955698782436e-06
0.044044044044044044,0.0003929097463515898,2.6197350515666255e-06,2.078321996843213e-06
0.04604604604604605,0.0005720591197958473,4.256913804363985e-06,3.082783533079856e-06
0.04804804804804805,0.0008117424013616573,6.711207695814334e-06,4.468939819282521e-06
0.050050050050050046,0.0011254281527846154,1.0294831857527335e-05,6.344850920945866e-06
0.05205205205205205,0.0015278832679427327,1.5404064718915e-05,8.838950093752594e-06
0.05405405405405406,0.00203501077599364,2.253199068925804e-05,1.2101817075570609e-05
0.056056056056056056,0.002663654822780835,3.228116706053313e-05,1.630782151503503e-05
0.058058058058058054,0.0034313805045479177,4.537589023663535e-05,2.1656610324519165e-05
0.06006006006006006,0.004356236507586471,6.26737454685556e-05,2.837441719514867e-05
0.062062062062062065,0.00545650836708427,8.517614473628318e-05,3.6715177047487385e-05
0.06406406406406406,0.006750469687163059,0.00011403758722729705,4.6961432661440807e-05
0.06606606606606606,0.008256137950793028,0.00015057341380907556,5.942502501310353e-05
0.06806806806806806,0.009991040675391494,0.00019626586875998574,7.444756285487593e-05
0.07007007007007007,0.011971996709641802,0.0002527683267038946,9.240067074485144e-05
0.07207207207207207,0.01421491647947351,0.00032190758828438666,0.00011368601802162713
0.07407407407407407,0.01673462402377059,0.00040568419296650645,0.00013873513410977785
0.07607607607607608,0.019544702748806434,0.000506270740103627,0.0001680090180231607
0.07807807807807808,0.02265736599946165,0.0006260082489813854,0.00020199755201413252
0.08008008008008008,0.026083352810510784,0.0007674006241577895,0.00024121873101208568
0.08208208208208208,0.0298318485705691,0.000933107323526456,0.00028621772082674184
0.08408408408408408,0.0339104298065055,0.001125934352837661,0.0003375657590872546
0.08608608608608609,0.038325031874484286,0.001348823731817377,0.00039585891357729646
0.08808808808808809,0.04307993801921848,0.0016048415935905065,0.0004617167130402406
0.09009009009009009,0.04817778802720025,0.001897165091035705,0.0005357806656991036
0.0920920920920921,0.05361960454299028,0.002229068291270224,0.0006187126806941763
0.0940940940940941,0.05940483502987812,0.0026039072430520064,0.0007111934074174929
0.0960960960960961,0.06553140732705215,0.0030251044019072473,0.0008139205073457809
0.0980980980980981,0.07199579677489311,0.003496132594685767,0.0009276068724687422
0.10010010010010009,0.07879310293876979,0.004020498699464491,0.0010529788038020707
0.1021021021021021,0.08591713405122225,0.004601727208703662,0.0011907741627862059
0.1041041041041041,0.0933604974050018,0.005243343833740448,0.001341740507622793
0.1061061061061061,0.10111469405838924,0.005948859297481511,0.0015066332258083241
0.10810810810810811,0.10917021635373758,0.006721753449902427,0.0016862136733044428
0.11011011011011011,0.11751664689540514,0.007565459828014901,0.0018812473299500265
0.11211211211211211,0.1261427577801092,0.008483350768623856,0.0020925019798831643
0.11411411411411411,0.13503660901794057,0.009478723168727039,0.002320745924911168
0.11611611611611611,0.14418564522329025,0.010554784975042263,0.0025667462379525344
0.11811811811811812,0.15357678978969758,0.011714642471065961,0.0028312670628820743
0.12012012012012012,0.16319653588974392,0.012961288417437924,0.0031150679663458926
0.12212212212212212,0.1730310337595216,0.014297591089332323,0.003418902346379958
0.12412412412412413,0.1830661738363102,0.015726284243216586,0.0037435159019681453
0.12612612612612611,0.1932876654175466,0.01724995803469094,0.004089645167015551
